y_if_trans,www_visits_month_freq_1,www_visits_month_freq_2,www_visits_month_freq_3,www_pages_visited_month_1,www_pages_visited_month_2,www_pages_visited_month_3,www_time_onsite_avg_month_1,www_time_onsite_avg_month_2,www_time_onsite_avg_month_3,www_trans_month_freq_1,www_trans_month_freq_2,www_trans_month_freq_3,www_basket_value_monthly_1,www_basket_value_monthly_2,www_basket_value_monthly_3,www_coupon_add_month_1,www_coupon_add_month_2,www_coupon_add_month_3,www_device_freq_mobile,www_device_freq_desktop,www_umbrella_click_month_1,www_umbrella_click_month_2,www_umbrella_click_month_3,www_promo_click_month_1,www_promo_click_month_2,www_promo_click_month_3,www_gallery_click_month_1,www_gallery_click_month_2,www_gallery_click_month_3,www_channel_freq__direct_organic,www_channel_freq__sem,www_channel_freq__facebook,www_channel_freq__portale,www_channel_freq__klub,www_channel_freq__afiliacja,www_channel_freq__retargeting,www_channel_freq__traffic,www_channel_freq__porownywarki,www_esizeme_freq_esizme_applied,www_esizeme_freq_esizeme_filtr,www_visits_add_fav_1,www_visits_add_fav_2,www_visits_add_fav_3,www_basket_freq_sku,www_product_trans_freq_damskie_buty,www_product_trans_freq_meskie_buty,www_product_trans_freq_dzieciece,www_product_trans_freq_torby,app_sessions_freq_month_freq_1,app_sessions_freq_month_freq_2,app_sessions_freq_month_freq_3,app_view_item_month_freq_1,app_view_item_month_freq_2,app_view_item_month_freq_3,app_select_promotion_month_freq_1,app_select_promotion_month_freq_2,app_select_promotion_month_freq_3,app_add_to_wishlist_month_freq_1,app_add_to_wishlist_month_freq_2,app_add_to_wishlist_month_freq_3,app_search_freq_month_freq_1,app_search_freq_month_freq_2,app_search_freq_month_freq_3,crm_club_level_id,crm_store_purchase_month_freq_1,crm_store_purchase_month_freq_2,crm_store_purchase_month_freq_3,output,flag,username,timestamp
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,,,2023-02-21 19:50:57.595013
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,,,2023-02-21 19:50:58.181642
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,,,2023-02-21 19:50:58.831794
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,,,2023-02-21 19:50:59.186041
174,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,,,2023-02-21 19:51:01.777920
174,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,,,2023-02-21 19:51:02.151601
174,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,,,2023-02-21 19:51:03.597905
174,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,,,2023-02-21 19:51:03.944504
174,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,,,2023-02-21 19:51:04.263718
174,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,,,2023-02-21 19:51:04.604406
